第一章危害国家安全罪,,,,,,,,,,,,,,,
231,破坏生产经营,刑法第276条,破坏电力设备及易燃易爆设备罪,破坏交通工具罪,破坏交通设施罪,放火罪,决水罪,爆炸罪,投放危险物质,,,,,,
232,拒不支付劳动报酬,刑法第276条之一,,,,,,,,,,,,,
第六章妨害社会管理秩序罪,,,,,,,,,,,,,,,
第一节扰乱公共秩序罪,,,,,,,,,,,,,,,
233,妨害公务,刑法第277条第1款至第4款,,,,,,,,,,,,,
234,袭警罪,刑法第277条第5款,妨害公务罪,以危险非法危害公共安全罪,故意伤害罪,故意杀人罪,,,,,,,,,
235,煽动暴力抗拒法律实施罪,刑法第278条,,,,,,,,,,,,,
236,招摇撞骗,刑法第279条,冒充军人招摇撞骗罪,,,,,,,,,,,,
237,[伪造、变造、买卖]国家机关[公文、证件、印章],刑法第280条第1款,伪造[公司、企业、事业单位、人民团体]印章,[伪造、变造、买卖]身份证件,,,,,,,,,,,
238,盗窃、抢夺、毁灭国家机关公文、证件、印章罪,刑法第280条第1款,,,,,,,,,,,,,
239,伪造[公司、企业、事业单位、人民团体]印章,刑法第280条第2款,,,,,,,,,,,,,
240,[伪造、变造、买卖]身份证件,刑法第280条第3款,使用虚假身份证件、盗用身份证件罪,,,,,,,,,,,,
241,使用虚假身份证件、盗用身份证件罪,刑法第280条之一,[伪造、变造、买卖]身份证件,,,,,,,,,,,,
242,冒名顶替罪,刑法第280条之二,,,,,,,,,,,,,
243,非法[生产、买卖]警用装备,刑法第281条,,,,,,,,,,,,,
244,非法获取国家秘密,刑法第282条第1款,间谍罪,,,,,,,,,,,,
245,非法持有国家绝密、机密文件、资料、物品罪,刑法第282条第2款,,,,,,,,,,,,,
246,非法[生产、销售][专用间谍器材、窃听、窃照专用器材],刑法第283条,,,,,,,,,,,,,
247,非法使用窃听、窃照专用器材罪,刑法第284条,,,,,,,,,,,,,
248,组织考试作弊罪,刑法第284条之一第1款、第2款,故意泄露国家秘密罪,过失泄露国家秘密罪,,,,,,,,,,,
249,非法出售、提供试题、答案罪,刑法第284条之一第3款,,,,,,,,,,,,,
250,代替考试罪,刑法第284条之一第4款,,,,,,,,,,,,,
251,非法侵入计算机信息系统罪,刑法第285条,,,,,,,,,,,,,
252,非法获取计算机信息系统数据、非法控制计算机信息系统罪,刑法第285条第2款,,,,,,,,,,,,,
253,提供[侵入、非法控制计算机信息系统][程序、工具],刑法第285条第3款,,,,,,,,,,,,,
254,破坏计算机信息系统,刑法第286条,非法侵入计算机信息系统罪,,,,,,,,,,,,
255,拒不履行信息网络安全管理义务罪,刑法第286条之一,,,,,,,,,,,,,
256,非法利用信息网络罪,刑法第287条之一,,,,,,,,,,,,,
257,帮助信息网络犯罪活动罪,刑法第287条之二,,,,,,,,,,,,,
258,扰乱无线电通讯管理秩序,刑法第288条,,,,,,,,,,,,,
259,聚众扰乱社会秩序,刑法第290条第1款,,,,,,,,,,,,,
260,聚众冲击国家机关,刑法第290条第2款,,,,,,,,,,,,,
261,扰乱国家机关工作秩序罪,刑法第290条第3款,,,,,,,,,,,,,
262,组织、资助非法聚集罪,刑法第290条第4款,,,,,,,,,,,,,
263,聚众扰乱[公共场所秩序、交通秩序],刑法第291条,,,,,,,,,,,,,
264,投放虚假危险物质罪,刑法第291条之一,投放危险物质罪,,,,,,,,,,,,
265,[编造、故意传播]虚假恐怖信息,刑法第291条之一,编造、故意传播虚假信息罪,聚众扰乱社会秩序罪,,,,,,,,,,,
266,编造、故意传播虚假信息罪,刑法第291条之一第2款,编造、故意传播虚假恐怖信息罪,聚众扰乱社会秩序罪,,,,,,,,,,,
267,高空抛物罪,刑法第291条之二,,,,,,,,,,,,,
268,聚众斗殴,刑法第292条第1款,故意伤害罪,故意杀人罪,寻衅滋事罪,,,,,,,,,,
269,寻衅滋事,刑法第293条,故意伤害罪,侮辱罪,聚众斗殴罪,,,,,,,,,,
270,催收非法债务罪,刑法第293条之一,,,,,,,,,,,,,
271,[组织、领导、参加]黑社会性质组织,刑法第294条第1款,组织、领导、参加恐怖组织罪,,,,,,,,,,,,
272,入境发展黑社会组织罪,刑法第294条第2款,,,,,,,,,,,,,
273,包庇、纵容黑社会性质组织罪,刑法第294条第4款,,,,,,,,,,,,,
274,传授犯罪方法,刑法第295条,,,,,,,,,,,,,
275,非法集会、游行、示威罪,刑法第296条,,,,,,,,,,,,,
276,非法携带武器、管制刀具、爆炸物参加集会、游行、示威罪,刑法第297条,,,,,,,,,,,,,
277,破坏集会、游行、示威罪,刑法第298条,,,,,,,,,,,,,
278,侮辱国旗、国徽、国歌罪,刑法第299条,,,,,,,,,,,,,
279,侵害英雄烈士名誉、荣誉罪,刑法第299条之一,,,,,,,,,,,,,
280,组织、利用会道门、邪教组织、利用迷信破坏法律实施罪,刑法第300条第1款,,,,,,,,,,,,,
281,组织、利用会道门、邪教组织、利用迷信致人重伤、死亡罪,刑法第300条第2款,,,,,,,,,,,,,
282,聚众淫乱罪,刑法第301条第1款,,,,,,,,,,,,,
283,引诱未成年人聚众淫乱罪,刑法第301条第2款,,,,,,,,,,,,,
284,[盗窃、侮辱、故意毁坏][尸体、尸骨、骨灰],刑法第302条,,,,,,,,,,,,,
285,赌博,刑法第303条,开设赌场罪,,,,,,,,,,,,
286,开设赌场,刑法第303条第2款,,,,,,,,,,,,,
287,组织参与国（境）外赌博罪,刑法第303条第3款,,,,,,,,,,,,,
288,故意延误投递邮件罪,刑法第304条,,,,,,,,,,,,,
第二节妨害司法罪,,,,,,,,,,,,,,,
289,伪证,刑法第305条,诬告陷害罪,,,,,,,,,,,,
290,辩护人、诉讼代理人毁灭证据、伪造证据、妨害作证罪,刑法第306条,,,,,,,,,,,,,
291,妨害作证,刑法第307条第1款,帮助[毁灭、伪造]证据,,,,,,,,,,,,
292,帮助[毁灭、伪造]证据,刑法第307条第2款,妨害作证罪,,,,,,,,,,,,
293,虚假诉讼罪,刑法第307条之一,伪证罪,,,,,,,,,,,,
294,打击报复证人,刑法第308条,,,,,,,,,,,,,
295,泄露不应公开的案件信息罪,刑法第308条之一第1款,,,,,,,,,,,,,
296,披露、报道不应公开的案件信息罪,刑法第308条之一第3款,,,,,,,,,,,,,
297,扰乱法庭秩序罪,刑法第309条,,,,,,,,,,,,,
298,[窝藏、包庇],刑法第310条,伪证罪,包庇毒品犯罪分子罪,掩饰、隐瞒犯罪所得罪,帮助[毁灭、伪造]证据,,,,,,,,,
299,拒绝提供间谍犯罪、恐怖主义犯罪、极端主义犯罪证据罪,刑法第311条,,,,,,,,,,,,,
300,[掩饰、隐瞒][犯罪所得、犯罪所得收益],刑法第312条,[窝藏、包庇],洗钱罪,,,,,,,,,,,
301,拒不执行[判决、裁定],刑法第313条,扰乱法庭秩序罪,,,,,,,,,,,,
302,非法处置[查封、扣押、冻结]的财产,刑法第314条,,,,,,,,,,,,,
303,破坏监管秩序,刑法第315条,,,,,,,,,,,,,
